GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hop Core,org.apache.hop.core.metrics,MetricsUtil,390,0,44,0,91,0,28,0,6,0
Hop Core,org.apache.hop.core.metrics,MetricsSnapshotType,0,64,0,0,0,2,0,1,0,1
Hop Core,org.apache.hop.core.metrics,MetricsSnapshot,130,48,4,2,32,13,18,4,16,3
Hop Core,org.apache.hop.core.metrics,MetricsDuration,128,74,11,1,22,21,14,10,8,10
Hop Core,org.apache.hop.metadata.util,HopMetadataUtil,50,0,4,0,10,0,5,0,3,0
Hop Core,org.apache.hop.metadata.util,ReflectionUtil,79,152,2,6,8,29,3,8,1,6
Hop Core,org.apache.hop.core.gui,Rectangle,41,0,8,0,7,0,6,0,2,0
Hop Core,org.apache.hop.core.gui,Point,26,0,0,0,7,0,2,0,2,0
Hop Core,org.apache.hop.metadata.serializer.json,JsonMetadataProvider,79,64,4,6,14,13,10,3,6,2
Hop Core,org.apache.hop.metadata.serializer.json,JsonMetadataParser,266,575,32,74,46,149,31,33,2,9
Hop Core,org.apache.hop.metadata.serializer.json,JsonMetadataSerializer,227,143,14,4,44,38,21,6,12,6
Hop Core,org.apache.hop.core.variables,Variables,169,141,26,18,38,38,23,16,8,9
Hop Core,org.apache.hop.core.variables,VariableValueDescription,68,0,6,0,23,0,13,0,10,0
Hop Core,org.apache.hop.metadata.serializer.memory,MemoryMetadataSerializer,169,0,12,0,47,0,22,0,16,0
Hop Core,org.apache.hop.metadata.serializer.memory,MemoryMetadataProvider,82,0,4,0,24,0,10,0,8,0
Hop Core,org.apache.hop.core,ResultFile,221,172,8,0,49,29,21,8,17,8
Hop Core,org.apache.hop.core,Props,146,0,12,0,37,0,21,0,15,0
Hop Core,org.apache.hop.core,Const.ReleaseType.new Const.ReleaseType() {...},0,12,0,0,0,2,0,2,0,2
Hop Core,org.apache.hop.core,Const.ReleaseType.new Const.ReleaseType() {...},0,12,0,0,0,2,0,2,0,2
Hop Core,org.apache.hop.core,Const.ReleaseType.new Const.ReleaseType() {...},0,12,0,0,0,2,0,2,0,2
Hop Core,org.apache.hop.core,Const.ReleaseType.new Const.ReleaseType() {...},0,12,0,0,0,2,0,2,0,2
Hop Core,org.apache.hop.core,BlockingRowSet,22,59,0,0,10,11,2,6,2,6
Hop Core,org.apache.hop.core,Counters,3,48,0,2,1,16,1,8,1,7
